Symbol,Yahoo Symbol,Company,Price,Trailing P/E,Forward P/E,Market Cap,Beta,Dividend Rate,Dividend Yield,Currency,Quote Type,Sector,Industry,Weight
SNPS,SNPS,"Synopsys, Inc.",489.02,75.23384,28.682415,93677666304.0,1.148,,,USD,EQUITY,Technology,Software - Infrastructure,0.0013687790286249
CTAS,CTAS,Cintas Corporation,169.61,35.858353,31.265265,67858771968.0,1.006,1.8,1.06,USD,EQUITY,Industrials,Specialty Business Services,0.0013570728722232
CL,CL,Colgate-Palmolive Company,87.26,33.178707,21.418701,70008864768.0,,2.12,2.43,USD,EQUITY,Consumer Defensive,Household & Personal Products,0.0013527545081791
USB,USB,U.S. Bancorp,56.3,11.802935,9.981207,87546503168.0,1.034,2.06,3.66,USD,EQUITY,Financial Services,Banks - Regional,0.0013449662723025
FTNT,FTNT,"Fortinet, Inc.",86.29,35.657024,26.087458,63173083136.0,0.998,,,USD,EQUITY,Technology,Software - Infrastructure,0.0013401975014147
ZTS,ZTS,Zoetis Inc.,114.16,18.963455,15.073414,48190099456.0,0.974,2.12,1.86,USD,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.0013380109058871
MCK,MCK,McKesson Corporation,814.02,23.472319,18.455801,99707240448.0,0.423,3.28,0.4,USD,EQUITY,Healthcare,Medical Distribution,0.0013240166060798
GD,GD,General Dynamics Corporation,345.84,21.79206,19.186802,93525573632.0,0.387,6.09,1.76,USD,EQUITY,Industrials,Aerospace & Defense,0.001304237614451
TDG,TDG,Transdigm Group Incorporated,1154.45,37.180355,25.215734,65195905024.0,0.955,,,USD,EQUITY,Industrials,Aerospace & Defense,0.0012910248943203
CEG,CEG,Constellation Energy Corporatio,307.81,41.652233,22.549986,111517917184.0,1.188,1.71,0.55,USD,EQUITY,Utilities,Utilities - Renewable,0.0012774583041531
AJG,AJG,Arthur J. Gallagher & Co.,208.11,33.67476,14.001574,53472198656.0,0.683,2.8,1.35,USD,EQUITY,Financial Services,Insurance Brokers,0.0012723284413913
EMR,EMR,Emerson Electric Company,137.45,33.688725,19.22953,77246898176.0,1.278,2.22,1.62,USD,EQUITY,Industrials,Specialty Industrial Machinery,0.0012714983722344
MMM,MMM,3M Company,142.5,27.456648,15.075472,74323337216.0,1.158,3.12,2.19,USD,EQUITY,Industrials,Conglomerates,0.0012665954815077
ORLY,ORLY,"O'Reilly Automotive, Inc.",96.67,31.591503,26.777576,80457736192.0,0.598,,,USD,EQUITY,Consumer Cyclical,Specialty Retail,0.001266226430874
NOC,NOC,Northrop Grumman Corporation,568.14,17.826796,18.801794,80694902784.0,0.046,9.24,1.63,USD,EQUITY,Industrials,Aerospace & Defense,0.0012307758308371
COF,COF,Capital One Financial Corporati,191.91,59.231483,7.9894257,121708535808.0,1.144,3.2,1.67,USD,EQUITY,Financial Services,Credit Services,0.0012262262943013
ECL,ECL,Ecolab Inc.,259.51,35.06892,27.08395,73291800576.0,1.024,2.76,1.06,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0012139545501174
EOG,EOG,"EOG Resources, Inc.",138.95,15.235745,9.844312,74437713920.0,0.333,4.08,2.94,USD,EQUITY,Energy,Oil & Gas E&P,0.0012045879742903
FDX,FDX,FedEx Corporation,393.67,21.006939,17.61131,93932322816.0,1.286,5.8,1.47,USD,EQUITY,Industrials,Integrated Freight & Logistics,0.0011947972260496
BDX,BDX,"Becton, Dickinson and Company",149.31,24.397058,11.056912,42473717760.0,0.352,4.2,2.81,USD,EQUITY,Healthcare,Medical Instruments & Supplies,0.0011879455445866
APD,APD,"Air Products and Chemicals, Inc",301.07,31.758442,21.181633,67035041792.0,0.808,7.24,2.4,USD,EQUITY,Basic Materials,Specialty Chemicals,0.0011802194312508
WMB,WMB,"Williams Companies, Inc. (The)",75.54,35.299065,29.07196,92374614016.0,0.653,2.1,2.78,USD,EQUITY,Energy,Oil & Gas Midstream,0.0011731177120881
SPG,SPG,"Simon Property Group, Inc.",202.44,14.286521,29.286077,77057368064.0,1.403,8.65,4.27,USD,EQUITY,Real Estate,REIT - Retail,0.001159265711956
ADSK,ADSK,"Autodesk, Inc.",244.35,46.72084,17.325119,51557851136.0,1.433,,,USD,EQUITY,Technology,Software - Application,0.0011558944403128
RCL,RCL,Royal Caribbean Cruises Ltd.,265.55,16.211843,13.248511,71838793728.0,1.941,4.25,1.6,USD,EQUITY,Consumer Cyclical,Travel Services,0.0011533816093309
